Unnamed: 0,Datetime,Tweet Id,Metaphor[1or0],Mapping,Hashtags_sp,AltMapping
63,2020-03-04 08:05:01+00:00,1235114006769106945,1,Monster,"['coronavirusindia', 'coronaalert', 'coronavirusreachesdelhi', 'covid_19']",
64,2020-03-04 07:39:33+00:00,1235107598187155458,0,Lesson/Teacher,"['coronavirus', 'coronaoutbreak', 'covid_19']",
65,2020-03-04 07:25:28+00:00,1235104054944002049,0,Luxury,['coronavirus'],
66,2020-03-04 05:49:47+00:00,1235079976665272320,1,War,['corona.'],
67,2020-03-04 05:21:49+00:00,1235072936027049984,1,Luxury,['coronaalert'],
68,2020-03-04 04:55:28+00:00,1235066304211501056,0,Lesson/Teacher,"['covid2019', 'covid19india', 'coronaoutbreak', 'corona', 'coronaalert']",
69,2020-03-04 04:32:09+00:00,1235060439475605505,0,Luxury,['corona'],
70,2020-03-04 03:39:11+00:00,1235047107033092096,1,War,['coronavirusindia'],
71,2020-03-04 03:20:24+00:00,1235042383181430784,1,War,['coronavirus?'],
72,2020-03-04 01:27:15+00:00,1235013907942531072,1,Storm,['coronavirusreachesdelhi'],
73,2020-03-04 00:51:24+00:00,1235004886107836416,1,Storm,['coronavirusindia'],
74,2020-03-05 12:38:38+00:00,1235545254347984897,1,Barrier/Shield,['coronavirus'],
75,2020-03-05 19:47:30+00:00,1235653182174490625,1,Monster,"['coronavirusindia', 'ncov2019', 'covidãƒ¼19']",WAR
76,2020-03-05 18:47:48+00:00,1235638156478668801,1,War,['coronavirus'],
77,2020-03-05 18:38:32+00:00,1235635825938812928,0,Storm,"['coronakodhona', 'coronavirusinindia']",
78,2020-03-05 17:43:53+00:00,1235622073281609730,1,War,"['coronavirus', 'covid19', 'coronavirusinindia']",
79,2020-03-05 17:42:30+00:00,1235621722419691525,1,War,['covid19'],
80,2020-03-05 13:18:50+00:00,1235555372456243202,0,Stigma,['coronavirus'],
81,2020-03-05 13:13:37+00:00,1235554055843278848,0,Luxury,['coronafear'],
82,2020-03-05 13:13:03+00:00,1235553916781318144,1,Barrier/Shield,['coronavirus'],
83,2020-03-05 12:26:01+00:00,1235542077846384640,0,Catalyst,"['coronaoutbreak', 'coronavirusinindia']",
84,2020-03-05 11:36:34+00:00,1235529635632279556,1,Barrier/Shield,['covid19'],MONSTER
85,2020-03-05 10:45:39+00:00,1235516822100660225,0,Miracle,['coronavirusinindia'],
86,2020-03-05 10:17:08+00:00,1235509642769256450,0,Catalyst,['#covid19'],
87,2020-03-05 09:56:15+00:00,1235504388875014150,1,Storm,['coronavirus'],
88,2020-03-05 08:37:07+00:00,1235484475158433792,0,War,['coronavirusindia'],
89,2020-03-05 08:36:20+00:00,1235484277225082882,0,Miracle,['coronavirus'],
90,2020-03-05 08:22:37+00:00,1235480826453708800,1,Lesson/Teacher,['coronavirus'],
91,2020-03-05 07:43:07+00:00,1235470885668016133,0,Storm,['coronavirusinindia'],
92,2020-03-05 06:30:02+00:00,1235452490943848449,1,Storm,['coronavirus'],
93,2020-03-05 05:32:43+00:00,1235438069337042944,0,Lesson/Teacher,['covid'],
94,2020-03-05 04:14:13+00:00,1235418311749332994,1,Luxury,['coronavirusinindia'],
95,2020-03-05 04:07:22+00:00,1235416589576462337,0,War,"['coronavirusindia', 'covid19india']",
96,2020-03-05 04:01:43+00:00,1235415168370094081,1,WAR,['coronavirus'],WAR
97,2020-03-05 03:58:18+00:00,1235414308286156800,1,War,['marked_safe_from_corona_virus'],
98,2020-03-05 03:07:15+00:00,1235401458473820160,1,WAR,['covid19'],WAR
99,2020-03-05 00:01:37+00:00,1235354743716732928,1,Bane/Punishment,"['coronvirus', 'coronavirusreachesdelhi']",BANE/PUNISHMENT0
100,2020-03-06 11:52:20+00:00,1235895990944579584,0,Journey,['coronavirus'],
102,2020-03-06 19:02:15+00:00,1236004181808484353,1,War,"['coronavirus', 'covidãƒ¼19']",
103,2020-03-06 16:13:36+00:00,1235961738152931328,1,War,['coronavirus'],
105,2020-03-06 15:54:06+00:00,1235956832243335168,0,Success/Challenge,['coronavirus'],
106,2020-03-06 15:51:30+00:00,1235956176166227968,1,Bane/Punishment,['coronavirus:'],BANE/PUNISHMENT
107,2020-03-06 15:20:14+00:00,1235948311707701248,0,Success/Challenge,['coronavirus'],
108,2020-03-06 14:53:19+00:00,1235941535004282880,1,War,"['coronavirus', 'covidãƒ¼19']",
109,2020-03-06 14:52:06+00:00,1235941228866195456,1,Stigma,"['coronakodhona', 'coronavirusinindia']",
110,2020-03-06 14:33:05+00:00,1235936442754400256,1,Stigma,['coronavirus'],
111,2020-03-06 08:28:30+00:00,1235844695000928256,0,War,['coronavirus'],
112,2020-03-06 04:32:43+00:00,1235785357087485952,1,War,['coronavirusinindia'],
113,2020-03-06 04:13:28+00:00,1235780511626334208,0,Monster,['coronavirus'],
114,2020-03-06 04:12:31+00:00,1235780274404941826,0,Stigma,['coronavirus'],
115,2020-03-06 03:52:45+00:00,1235775300778233856,1,STIGMA,"['coronavirus', 'covid19']",STIGMA
116,2020-03-06 03:28:04+00:00,1235769085234995200,1,War,['coronavirusinindia'],
117,2020-03-06 03:21:51+00:00,1235767522789597184,1,Monster,['coronavirus'],
118,2020-03-07 22:49:10+00:00,1236423675823316992,1,War,"['coronavirus', 'coronvirusuk', 'coronaviruschina', 'coronavirususa', 'coronavirusindia', 'coronaoutbreak']",
120,2020-03-07 17:27:32+00:00,1236342732735393798,1,Barrier/Shield,"['covid19?', 'covid19india', 'stopthepandemic']",SPEEDBREAKER/BARRIER
121,2020-03-07 15:34:39+00:00,1236314324353703941,1,Success/Challenge,"['coronaalert', 'corona']",
122,2020-03-07 15:20:10+00:00,1236310679583219712,1,BLESSING,['coronavirus'],BLESSING
123,2020-03-07 14:44:10+00:00,1236301622680092677,1,Success/Challenge,['coronavirus'],
124,2020-03-07 14:18:38+00:00,1236295193571155968,1,Monster,"['coronaviruschallenge', 'corona']",
126,2020-03-07 06:20:21+00:00,1236174829864333317,0,War,['coronavirus'],
127,2020-03-07 04:51:09+00:00,1236152383874273281,0,Lesson/Teacher,['covid19'],
128,2020-03-07 02:59:29+00:00,1236124281748123649,1,Darkness,['coronavirus'],?
129,2020-03-08 13:54:39+00:00,1236651548903493633,1,War,['coronavirus'],
130,2020-03-08 07:35:45+00:00,1236556193465655296,0,Hammer,['coronavirusindia'],
131,2020-03-08 20:00:49+00:00,1236743698370576384,1,WAR,"['covid2019', 'coronavirus']",FIGHTER
132,2020-03-08 17:05:22+00:00,1236699544009601026,1,WAR,['corona'],WAR
133,2020-03-08 15:32:22+00:00,1236676139772301313,0,War,['coronavirus'],
134,2020-03-08 13:15:07+00:00,1236641599783718912,1,War,"['covid19india', 'covid19']",
135,2020-03-08 07:31:34+00:00,1236555142033321985,1,Landscape,['coronavirusindia'],?
136,2020-03-08 06:44:47+00:00,1236543366654865408,1,War,['coronavirus'],
137,2020-03-08 06:13:47+00:00,1236535567686352897,1,Monster,['coronavirus'],
138,2020-03-08 02:15:28+00:00,1236475593245392896,1,Landscape,['coronavirus'],
139,2020-03-08 02:10:54+00:00,1236474441116180482,0,Journey,"['coronavirusupdate', 'coronavirus']",
140,2020-03-08 01:55:38+00:00,1236470603172827136,1,Lesson/Teacher,"['coronavirus', 'coronavirusinindia']",
141,2020-03-08 01:32:26+00:00,1236464764475359232,0,War,['corona'],
142,2020-03-08 01:27:47+00:00,1236463593379381248,1,Stigma,"['covid2019', 'coronavirus']",
144,2020-03-09 18:41:14+00:00,1237086058644455424,0,Luxury,['coronavid19'],
145,2020-03-09 16:49:08+00:00,1237057845809446929,0,Hammer,"['covid2019', 'covid19india']",
146,2020-03-09 15:43:05+00:00,1237041224999030784,1,Monster,['coronavirus'],
147,2020-03-09 14:34:24+00:00,1237023938934276096,0,Water/Wave/Tide,['coronavirus'],
148,2020-03-09 13:26:51+00:00,1237006941026582528,1,Bane/Punishment,"['coronavirus', 'covid19.']",BANE
149,2020-03-09 13:16:26+00:00,1237004319506849793,0,Barrier/Shield,['coronavid19'],
150,2020-03-09 13:09:11+00:00,1237002494947078144,0,Success/Challenge,['coronavirus'],
151,2020-03-09 08:50:20+00:00,1236937350720020480,0,Barrier/Shield,['coronavirus'],
152,2020-03-09 08:28:57+00:00,1236931971034406913,0,War,"['coronavirus', 'covid19india']",
153,2020-03-09 07:36:49+00:00,1236918851536924673,0,War,['corona'],
155,2020-03-09 05:41:50+00:00,1236889913632550912,1,Stigma,"['coronavid19', 'covid2019', 'corona', 'coronaindia', 'coronavirusoutbreak']",
156,2020-03-09 05:06:00+00:00,1236880894670934016,1,War,['corona.'],
157,2020-03-09 05:01:44+00:00,1236879823722577922,0,Accident,['corona'],
158,2020-03-09 04:42:38+00:00,1236875015817007111,0,Accident,['corona'],
159,2020-03-09 04:34:33+00:00,1236872981432983552,0,Catalyst,['coronavirus'],
160,2020-03-09 03:26:12+00:00,1236855780592062464,0,Lesson/Teacher,['coronavirusoutbreak'],
161,2020-03-09 00:50:03+00:00,1236816485948874752,1,FLOWER,['coronavirus'],FLOWER
162,2020-03-10 20:22:21+00:00,1237473891934601217,0,Journey,"['coronavirusindia', 'coronavirus', 'covid19']",
163,2020-03-10 19:11:24+00:00,1237456035507351552,1,Water/Wave/Tide,['coronavirusindia'],?
164,2020-03-10 18:43:37+00:00,1237449043543908352,1,War,['corona'],
165,2020-03-10 18:03:29+00:00,1237438945501167617,1,Lesson/Teacher,['covid19'],HAMMER/CLIFF
166,2020-03-10 17:35:07+00:00,1237431804807614464,0,Luxury,"['2019ncov', 'coronavid19', 'coronavirustruth', 'coronavirusupdates', 'coronavirusfacts', 'covd19', 'coronavirusdeutschland']",
167,2020-03-10 17:18:23+00:00,1237427593881640961,0,Monster,"['covid2019', 'covid19']",
168,2020-03-10 16:57:21+00:00,1237422299961126912,0,Lesson/Teacher,['coronavirus'],
169,2020-03-10 16:25:15+00:00,1237414222100746240,1,Stigma,"['coronavirusindia', 'covid2019']",?
170,2020-03-10 15:13:31+00:00,1237396170349006848,1,Accident,['coronavirus'],
171,2020-03-10 15:09:22+00:00,1237395127020093441,0,Lesson/Teacher,"['coronavirusindia', 'covid19']",
172,2020-03-10 13:22:31+00:00,1237368238465400842,1,War,['covid19'],
173,2020-03-10 12:35:02+00:00,1237356288197058560,0,Success/Challenge,"['covid19', 'coronavirus', 'corona.']",
174,2020-03-10 10:58:19+00:00,1237331949535952896,0,Prison,"['coronavirusindia', 'coronavirusupdate']",
175,2020-03-10 09:45:27+00:00,1237313608918286337,0,Luxury,['coronavirus'],
176,2020-03-10 08:55:29+00:00,1237301037045817344,0,Lesson/Teacher,"['coronavirus', 'coronavirusinindia']",
177,2020-03-10 08:54:24+00:00,1237300765049290753,1,Hammer,['corona'],
178,2020-03-10 08:16:13+00:00,1237291152014888961,1,Freedom,"['coronavirusinindia', 'coronavirus', 'coronavid19', 'coronavirusoutbreak']",?
179,2020-03-10 07:12:06+00:00,1237275016779067392,1,Storm,['coronavirus'],
180,2020-03-10 05:41:04+00:00,1237252110946676737,1,WAR,['coronavirus'],WAR/ATTACK
181,2020-03-10 05:13:05+00:00,1237245066403401728,0,Monster,['coronavirus'],
182,2020-03-10 02:57:03+00:00,1237210832120852480,0,Lesson/Teacher,"['coronavid19', 'coronavirus', 'coronavid19']",
183,2020-03-10 02:11:45+00:00,1237199434645008384,1,War,['coronavirus'],
186,2020-03-11 20:10:31+00:00,1237833302708346880,0,War,"['coronavirus', 'corona_ko_hone_na_do_na', 'covid19']",
187,2020-03-11 18:43:35+00:00,1237811424400822272,0,Landscape,"['italylockdown.the', 'coronavirus']",
188,2020-03-11 18:33:13+00:00,1237808814834855936,0,Journey,"['coronavirusupdate', 'coronavirus']",
189,2020-03-11 18:18:56+00:00,1237805222312833024,0,War,"['coronavirusindia', 'coronavirusupdate', 'covid19', 'coronavirusoutbreak', 'coronavirus']",
190,2020-03-11 18:18:39+00:00,1237805150028226560,0,War,['covid19'],
191,2020-03-11 18:18:28+00:00,1237805103895085057,0,Journey,"['coronavirus', 'covid19']",
192,2020-03-11 18:11:09+00:00,1237803262671237120,0,Lesson/Teacher,"['coronavirus', 'coronavirusindia', 'coronavirus']",
193,2020-03-11 18:10:41+00:00,1237803145054392321,1,Darkness,"['coronavirusupdate', 'coronavirus', 'coronaoutbreak']",
194,2020-03-11 17:43:12+00:00,1237796228483567616,1,Prison,['coronavirus'],
195,2020-03-11 17:20:10+00:00,1237790429195595776,1,War,['coronavirusindia'],
196,2020-03-11 17:13:59+00:00,1237788874929106944,1,War,['covid19'],
197,2020-03-11 17:12:36+00:00,1237788527972118528,1,War,['covid19'],
198,2020-03-11 17:06:57+00:00,1237787104375181314,0,Accident,"['coronovirusindia', 'covid19.']",?
199,2020-03-11 16:51:15+00:00,1237783152707297280,0,War,"['coronavirusupdate', 'coronavirus', 'coronavirusreachesdelhi']",
200,2020-03-11 16:29:28+00:00,1237777670923902976,1,War,['covid19'],
201,2020-03-11 16:26:44+00:00,1237776984656302082,0,Lesson/Teacher,"['coronavirusupdate', 'coronavirus', 'corona', 'coronavirusindia', 'virus']",
202,2020-03-11 15:38:43+00:00,1237764901415739393,0,Hammer,['covid19'],
203,2020-03-11 15:37:34+00:00,1237764610658144256,0,Monster,['coronavirus:'],
204,2020-03-11 14:02:31+00:00,1237740692362776576,0,Monster,['coronavirus'],
205,2020-03-11 13:45:29+00:00,1237736404106412032,0,Accident,"['sarscov2', 'coronavirus']",
206,2020-03-11 13:39:28+00:00,1237734888695951361,1,MONSTER,['coronavirusindia'],MONSTER
207,2020-03-11 13:12:47+00:00,1237728174949060608,0,War,['covid19india'],
209,2020-03-11 12:44:18+00:00,1237721008301158400,1,Bane/Punishment,['covid19'],BANE
210,2020-03-11 11:44:46+00:00,1237706025844629505,1,Monster,['coronavirus'],
211,2020-03-11 11:09:27+00:00,1237697138840055808,0,Monster,"['coronavirus', 'covid19india', 'gocorona', 'corona']",
212,2020-03-11 08:27:42+00:00,1237656433174278144,0,Lesson/Teacher,['coronavirus'],
213,2020-03-11 08:10:47+00:00,1237652174080884736,0,Lesson/Teacher,['coronavirus'],
214,2020-03-11 07:27:54+00:00,1237641381155201025,1,Stigma,['coronavirus.'],
215,2020-03-11 07:14:10+00:00,1237637925564633088,0,Journey,"['coronavirus', 'covid19']",
216,2020-03-11 06:04:08+00:00,1237620300402929664,1,War,['coronavirus'],
217,2020-03-11 06:01:02+00:00,1237619522493755393,1,War,['coronavirus.'],
218,2020-03-11 05:49:38+00:00,1237616654000906241,1,Barrier/Shield,['corona'],?
219,2020-03-11 04:40:31+00:00,1237599257739153410,1,War,['coronavirus'],
220,2020-03-11 03:55:47+00:00,1237587999820414976,0,Lesson/Teacher,"['covid2019', 'corona']",
221,2020-03-11 03:08:34+00:00,1237576119148146691,1,Landscape,"['coronavirusupdate', 'coronavid19', 'coronavirusinindia']",
222,2020-03-11 02:52:11+00:00,1237571994477977600,0,Hammer,['coronavirus'],
223,2020-03-11 02:46:53+00:00,1237570661117091840,1,War,['coronavirus'],
224,2020-03-12 23:30:20+00:00,1238245974331592705,1,Lesson/Teacher,"['coronaviruspandemic', 'covid_19']",
226,2020-03-12 22:04:03+00:00,1238224260960620544,0,War,['coronavirus'],
228,2020-03-12 21:15:05+00:00,1238211939496493056,0,Hammer,['covid_19'],
229,2020-03-12 21:02:10+00:00,1238208687044325376,1,War,"['covid19', 'wuhanvirus']",
230,2020-03-12 20:32:45+00:00,1238201283443482629,1,Landscape,"['covid19us', 'coronavirus']",?
233,2020-03-12 20:14:59+00:00,1238196813917835264,0,Lesson/Teacher,['covid19'],
234,2020-03-13 22:28:24+00:00,1238592778356977664,0,War,['covid_19'],
235,2020-03-13 22:00:44+00:00,1238585811974500352,0,War,['coronaviruspandemic'],
236,2020-03-13 21:43:11+00:00,1238581397599617025,1,Success/Challenge/CHALLENGE,"['coronaviruspandemic', 'coronavirus']",CHALLENGE
237,2020-03-13 20:45:37+00:00,1238566911786409984,0,War,['wuhanvirus'],
238,2020-03-13 19:48:19+00:00,1238552491962204160,0,Stigma,['covid19'],
239,2020-03-13 18:36:21+00:00,1238534380735225856,1,BLESSING,"['covid2019', 'coronaviruspandemic', 'covid_19', 'coronavirus']",BLESSING
240,2020-03-13 18:30:52+00:00,1238532998615535617,1,Water/Wave/Tide,"['coronavirusindia', 'corona']",?
242,2020-03-13 18:13:25+00:00,1238528609809133571,0,Storm,['indiavscorona'],
243,2020-03-13 18:01:57+00:00,1238525722487996416,1,Storm,['coronavirus'],
244,2020-03-13 17:55:28+00:00,1238524089255563268,0,Journey,['coronavirus'],
245,2020-03-13 17:46:30+00:00,1238521834049421313,0,Hammer,['coronavirus'],
247,2020-03-13 17:11:50+00:00,1238513111394476033,1,Lesson/Teacher,"['indiavscorona', 'coronavirusindia', 'coronaoutbreak']",
248,2020-03-13 16:56:19+00:00,1238509204748431360,0,Luxury,['coronavirus'],
249,2020-03-13 16:55:35+00:00,1238509020429692929,1,BLESSING,['coronavirus'],BLESSING/CURE
250,2020-03-13 16:54:15+00:00,1238508684994437120,1,War,"['covid2019', 'corona']",
251,2020-03-13 16:53:30+00:00,1238508495629987840,1,War,['coronavirus'],
252,2020-03-13 16:44:44+00:00,1238506288000065536,1,War,"['covid2019', 'corona']",
253,2020-03-13 16:44:20+00:00,1238506191107448838,0,Prison,['coronavirus'],
254,2020-03-13 16:40:28+00:00,1238505218205081606,0,War,['corona'],
255,2020-03-13 16:32:53+00:00,1238503306533601280,1,War,['covid19'],
256,2020-03-13 16:18:03+00:00,1238499574378934273,1,War,['coronavirus'],
257,2020-03-13 15:54:53+00:00,1238493743621091329,1,War,"['fightingcoronavirus', 'corona']",
258,2020-03-13 15:54:16+00:00,1238493590671642624,0,Storm,['covid_19'],
259,2020-03-13 15:53:40+00:00,1238493437583818755,1,War,['indiafightscorona'],
260,2020-03-13 15:48:47+00:00,1238492211055972352,0,Darkness,['coronavirus'],
261,2020-03-13 15:45:09+00:00,1238491295032598528,0,Luxury,['coronatuerkiye'],
262,2020-03-13 14:45:31+00:00,1238476289838850054,0,Prison,"['coronavirus', 'coronavirusinindia']",
263,2020-03-13 14:44:54+00:00,1238476132661354496,1,Success/Challenge/CHALLENGE,['covid2019.follow'],CHALLENGE
265,2020-03-13 14:19:11+00:00,1238469660477018112,0,Landscape,"['coronasurcharge', 'coronavirus']",
266,2020-03-13 14:10:22+00:00,1238467441228787712,0,Monster,['corona'],
267,2020-03-13 13:30:16+00:00,1238457349414649857,1,Journey,['coronavirus'],GIANT
268,2020-03-13 13:17:28+00:00,1238454128180781056,1,Success/Challenge/CHALLENGE,"['coronavirusupdate', 'coronaoutbreak', 'covid_19']",CHALLENGE
269,2020-03-13 13:15:49+00:00,1238453714903433217,0,War,"['coronaviruspandemic', 'coronavirus.']",
270,2020-03-13 12:43:13+00:00,1238445511910121473,0,Stigma,"['covid19.', 'socialdistancing']",
271,2020-03-13 12:38:14+00:00,1238444255254806528,0,Lesson/Teacher,['coronavirus'],
272,2020-03-13 12:02:02+00:00,1238435147659108358,1,Bane/Punishment,"['coronaviruspandemic', 'coronaoutbreak', 'covid_19']",PUNISHMENT/REVENGE
273,2020-03-13 11:48:37+00:00,1238431770174947328,1,STIGMA,['covid19.'],STIGMA
274,2020-03-13 11:34:00+00:00,1238428090067554306,0,Stigma,['coronavirus'],
275,2020-03-13 11:26:58+00:00,1238426322780581889,0,War,"['coronaviruspandemic', 'covid19.']",
276,2020-03-13 11:00:32+00:00,1238419667531599872,0,Luxury,['corona'],
277,2020-03-13 10:34:03+00:00,1238413005643112448,0,Miracle,['coronavirusindia'],
278,2020-03-13 10:32:09+00:00,1238412525332381696,0,Storm,['coronavirus'],
279,2020-03-13 09:56:52+00:00,1238403648872308736,0,Lesson/Teacher,['coronavirus.'],
280,2020-03-13 09:44:04+00:00,1238400426166218752,0,War,['coronavirus'],
281,2020-03-13 09:29:13+00:00,1238396686826745856,0,Lesson/Teacher,"['coronaviruspandemic', 'coronavirus', 'coronaoutbreak']",
282,2020-03-13 08:49:21+00:00,1238386654785593345,1,CONSPIRACY,['covid_19'],CONSPIRACY
283,2020-03-13 08:34:59+00:00,1238383042084737030,0,Prison,['coronavirus'],
284,2020-03-13 08:01:36+00:00,1238374638763335680,1,War,['covid19'],
285,2020-03-13 07:58:03+00:00,1238373747565813760,0,Lesson/Teacher,['coronavirus'],
286,2020-03-13 07:54:50+00:00,1238372937159168001,0,War,['gocoronago'],
287,2020-03-13 07:45:43+00:00,1238370640085819393,1,MONSTER,"['coronavirus', 'covid19']",MONSTER
288,2020-03-13 07:37:24+00:00,1238368550563147777,0,War,"['covid19', 'stopcovid19']",
289,2020-03-13 07:32:03+00:00,1238367202979405824,0,War,"['covid', 'covid19']",
290,2020-03-13 07:31:25+00:00,1238367044082397185,0,Storm,"['virus', 'covid19', 'corona']",
291,2020-03-13 06:32:06+00:00,1238352114188873729,0,War,"['novelcoronavirus2019', 'coronavirusinindia', 'covid19', 'corona']",
292,2020-03-13 06:10:13+00:00,1238346607864627200,0,Success/Challenge,['covid_19'],
293,2020-03-13 05:54:33+00:00,1238342664971403265,0,War,['covid_19.'],
294,2020-03-13 05:35:33+00:00,1238337882474995713,0,Monster,"['coronavirus', 'covid19']",
295,2020-03-13 05:32:43+00:00,1238337172400300033,,Lesson/Teacher,['coronavirusindia'],
296,2020-03-13 05:01:58+00:00,1238329433968132098,0,Prison,['covid_19'],
297,2020-03-13 04:31:41+00:00,1238321813081350145,0,Prison,"['covid_19.', 'socialdistancing']",
